id,summary,start,end,location,description,attendees
20240329_8rj77tkmv80qdfe3it2es5op3c,Karfreitag,2024-03-29,2024-03-30,No location provided,Gesetzlicher Feiertag,[]
20240330_958hlv0b1r3bvk7168dvs9pgvg,Karsamstag (regionaler Feiertag),2024-03-30,2024-03-31,No location provided,"Gedenktag in Bayern, Hessen, Niedersachsen, Saarland, Rheinland-Pfalz
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20240331_5sd4k52u2ekaufoq30dp0pb92k,Ostern (regionaler Feiertag),2024-03-31,2024-04-01,No location provided,"Feiertag in Baden-Württemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thüringen",[]
20240331_7lu6a9vhlpn5kmoqq4bkjg488o,Beginn der Sommerzeit,2024-03-31,2024-04-01,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20240401_t2b84pc5ke8it7rrsc8k6f080c,Ostermontag,2024-04-01,2024-04-02,No location provided,Gesetzlicher Feiertag,[]
20240501_cfpn15c0819flr22pdp42eskso,Tag der Arbeit,2024-05-01,2024-05-02,No location provided,Gesetzlicher Feiertag,[]
20240508_1lro5qouao044nr1tl0thompdc,Jahrestag der Befreiung vom Nationalsozialismus (regionaler Feiertag),2024-05-08,2024-05-09,No location provided,"Gedenktag in Berlin, Brandenburg, Bremen, Mecklenburg-Vorpommern, Thüringen
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20240509_8aa7jjdj86s70dcmp4659943hc,Vatertag,2024-05-09,2024-05-10,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20240509_a1a9k4sacm6lmmljn510aofbes,Christi Himmelfahrt,2024-05-09,2024-05-10,No location provided,Gesetzlicher Feiertag,[]
20240512_sktjbfdocrko9hag24fg0nmov8,Muttertag,2024-05-12,2024-05-13,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20240519_ga3ovrrgmnrhncltbe48a1ok50,Pfingsten (regionaler Feiertag),2024-05-19,2024-05-20,No location provided,"Feiertag in Baden-Württemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thüringen",[]
20240520_pj757s9jaapbu7sejuvo6ca1a0,Pfingstmontag,2024-05-20,2024-05-21,No location provided,Gesetzlicher Feiertag,[]
20240530_qgc2sebgj4b42fig5v31dm88u0,Fronleichnam (regionaler Feiertag),2024-05-30,2024-05-31,No location provided,"Feiertag in Baden-Württemberg, Bayern, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Thüringen",[]
20240808_i796gviakrdpp8ppdtnuo2pvp0,Hohes Friedensfest Augsburg (Bayern),2024-08-08,2024-08-09,No location provided,Feiertag in Bayern,[]
20240815_ecj2barmime85hl624hcle660g,Mariä Himmelfahrt (regionaler Feiertag),2024-08-15,2024-08-16,No location provided,"Feiertag in Bayern, Saarland, Sachsen, Thüringen",[]
20240920_caqla46kvj0enh9tnls2q902qk,Weltkindertag (Thüringen),2024-09-20,2024-09-21,No location provided,Feiertag in Thüringen,[]
20241003_dfvapomfcg36flije73aknlf88,Tag der Deutschen Einheit,2024-10-03,2024-10-04,No location provided,Gesetzlicher Feiertag,[]
20241027_30pvdjf1m0nlfi7pgas20r9fqo,Ende der Sommerzeit,2024-10-27,2024-10-28,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20241031_nl0r8nf2hni67n3u48j1en0oss,Halloween,2024-10-31,2024-11-01,No location provided,"Gedenktag
Wenn Sie Gedenktage ausblenden möchten, rufen Sie die Google Kalender-Einstellungen auf > Feiertage in Deutschland",[]
20241031_r8j3772pghojg80abkgj1a0nis,Reformationstag (regionaler Feiertag),2024-10-31,2024-11-01,No location provided,"Feiertag in Brandenburg, Mecklenburg-Vorpommern, Sachsen, Sachsen-Anhalt, Thüringen, Schleswig-Holstein, Hamburg, Niedersachsen, Bremen",[]
20241101_gt4bmg13f1aq5e4cf6heovvusk,Allerheiligen (regionaler Feiertag),2024-11-01,2024-11-02,No location provided,"Feiertag in Baden-Württemberg, Bayern, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",[]
